                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0992,                 1.3685,                 1.5213,                0.47424,                0.83735,                 0.6546,                0.46214,                 1.1816,                 1.1511,                  1.702,             0.00068754,             0.00068754,             0.00068754
                     79,                 1.1127,                 1.3586,                 1.4983,                 0.4091,                0.72552,                0.51124,                0.37704,                 1.0415,                 1.2573,                 1.5762,             0.00068204,             0.00068204,             0.00068204
                     80,                 1.0491,                 1.3074,                 1.4545,                0.40317,                0.88602,                0.62231,                0.46097,                 1.0878,                 1.0736,                 1.6134,             0.00067654,             0.00067654,             0.00067654
                     81,                 1.0562,                 1.3846,                 1.4649,                0.34226,                0.81556,                0.48586,                0.35165,                 1.0498,                 1.6917,                 1.5497,             0.00067104,             0.00067104,             0.00067104
                     82,                 1.0294,                 1.3443,                 1.4544,                0.41258,                0.85761,                0.57018,                 0.3915,                 1.1174,                 1.2523,                 1.6293,             0.00066554,             0.00066554,             0.00066554
                     83,                 1.0282,                 1.3215,                 1.4462,                0.39718,                0.82396,                0.59216,                0.44598,                 1.0288,                 1.1673,                 1.5433,             0.00066005,             0.00066005,             0.00066005
                     84,                 1.0146,                 1.3557,                 1.4526,                0.41777,                0.87586,                0.54175,                0.39251,                 1.0159,                  1.304,                 1.5199,             0.00065455,             0.00065455,             0.00065455
                     85,                 1.0506,                 1.3551,                 1.4664,                0.36826,                0.81654,                0.52247,                0.37993,                 1.0117,                 1.3489,                 1.5569,             0.00064905,             0.00064905,             0.00064905
                     86,                 1.0318,                 1.3312,                 1.4528,                0.34457,                0.83448,                0.49577,                0.34978,                 1.0864,                 1.5109,                 1.6205,             0.00064355,             0.00064355,             0.00064355
                     87,                0.99641,                 1.3046,                 1.4262,                0.34859,                0.81494,                0.50586,                0.38075,                 1.0092,                 1.4962,                 1.5118,             0.00063805,             0.00063805,             0.00063805
                     88,                 1.0186,                 1.3076,                 1.4295,                0.43677,                0.77954,                0.56305,                0.40909,                 1.0913,                 1.3156,                 1.6426,             0.00063255,             0.00063255,             0.00063255
                     89,                 1.0308,                 1.3524,                 1.4349,                0.43043,                0.87154,                0.62189,                0.43764,                 1.1424,                 1.1748,                 1.6549,             0.00062705,             0.00062705,             0.00062705
                     90,                 1.0341,                 1.3079,                  1.436,                0.48244,                  0.773,                0.56481,                0.39769,                  1.097,                 1.2451,                 1.6345,             0.00062155,             0.00062155,             0.00062155
                     91,                 1.0382,                 1.2951,                 1.4538,                0.46512,                0.71827,                0.53943,                0.40082,                  1.064,                 1.3136,                 1.6421,             0.00061605,             0.00061605,             0.00061605
                     92,                 1.0162,                 1.2974,                 1.4414,                0.48148,                0.75788,                0.53779,                0.39684,                0.99801,                 1.3215,                 1.5589,             0.00061055,             0.00061055,             0.00061055
                     93,                0.99172,                 1.2854,                 1.4257,                0.41324,                0.77557,                0.50525,                0.37443,                0.99909,                 1.4402,                 1.5273,             0.00060505,             0.00060505,             0.00060505
                     94,                 1.0036,                 1.2745,                 1.4149,                0.31312,                 0.7963,                0.48077,                0.34042,                 1.1241,                 1.7047,                 1.6585,             0.00059955,             0.00059955,             0.00059955
                     95,                 1.0318,                 1.3111,                 1.4443,                0.43958,                0.79153,                0.57877,                0.41358,                 1.0828,                 1.2201,                 1.5871,             0.00059405,             0.00059405,             0.00059405
                     96,                 1.0388,                 1.2774,                 1.4598,                0.42522,                0.73701,                0.53301,                0.37712,                 1.1226,                 1.4138,                 1.6459,             0.00058855,             0.00058855,             0.00058855
                     97,                  1.007,                 1.3123,                 1.4173,                0.41006,                0.77362,                0.51118,                0.37021,                 1.0203,                 1.3182,                 1.5448,             0.00058305,             0.00058305,             0.00058305
                     98,                  1.005,                 1.2483,                 1.4262,                0.54439,                0.67072,                0.56672,                0.41684,                  1.126,                 1.2643,                 1.6515,             0.00057755,             0.00057755,             0.00057755
